Name,Age,Purpose,Depature,Destination,PeriodOfStay
목가현,47,other,busan,saporo,16
복설아,50,other,busan,tokyo,90
유소영,77,business,kimpo,fukuoka,39
송은솔,80,other,kimpo,osaka,69
왕지호,32,other,incheon,saporo,80
심민재,79,tourism,busan,osaka,68
고윤호,51,business,incheon,saporo,65
목현,53,business,kimpo,osaka,3
상효준,16,other,kimpo,tokyo,10
채태이,56,other,busan,fukuoka,34
성민주,17,business,busan,fukuoka,27
시예나,66,business,jeju,tokyo,59
여서우,31,tourism,jeju,saporo,1
당태영,31,other,kimpo,fukuoka,28
민현성,53,business,incheon,osaka,40
강이안,54,other,kimpo,fukuoka,73
감혜윤,19,business,kimpo,osaka,11
우혜원,49,other,incheon,osaka,77
한지아,65,business,busan,osaka,12
견세은,51,tourism,incheon,tokyo,10
간은비,63,business,jeju,osaka,3
간하람,74,tourism,incheon,fukuoka,89
맹유성,62,other,busan,tokyo,38
가윤서,34,business,incheon,fukuoka,78
감채윤,42,other,incheon,fukuoka,80
송채영,26,other,incheon,saporo,45
범소영,31,other,incheon,fukuoka,53
임서율,14,tourism,jeju,osaka,25
부민서,20,other,incheon,tokyo,9
경지연,37,other,incheon,saporo,88
모하윤,26,business,kimpo,fukuoka,31
안지한,9,other,incheon,fukuoka,65
문지윤,59,other,incheon,fukuoka,74
옥소현,23,business,kimpo,saporo,36
탁서하,12,other,incheon,saporo,44
우하민,3,other,busan,fukuoka,61
왕서우,79,other,busan,osaka,14
음영민,38,business,kimpo,tokyo,78
예유민,52,tourism,jeju,saporo,89
제승호,64,other,busan,saporo,45
부유하,38,tourism,jeju,tokyo,13
길은유,38,tourism,jeju,saporo,62
피건호,17,tourism,busan,tokyo,30
임성민,61,tourism,kimpo,osaka,81
원지안,59,tourism,kimpo,fukuoka,32
지준석,29,tourism,busan,saporo,34
구채연,5,business,kimpo,fukuoka,41
염지혁,38,other,kimpo,saporo,80
온형준,19,tourism,busan,osaka,11
복하린,43,tourism,kimpo,tokyo,67
문윤성,2,other,incheon,saporo,16
봉강현,6,other,busan,fukuoka,66
주지수,42,other,busan,tokyo,87
어다율,79,tourism,kimpo,osaka,49
진수현,16,tourism,incheon,tokyo,67
선혜진,74,business,jeju,fukuoka,24
손태린,51,other,incheon,saporo,11
금서율,62,business,jeju,saporo,25
변은설,29,tourism,busan,osaka,45
석태호,13,tourism,kimpo,tokyo,70
갈예나,27,other,incheon,saporo,29
변라희,42,tourism,jeju,tokyo,32
위루아,22,other,kimpo,osaka,5
단다원,65,other,incheon,osaka,64
복준형,13,tourism,jeju,tokyo,76
유은채,58,business,busan,saporo,31
윤태이,63,other,incheon,tokyo,72
경시현,11,tourism,kimpo,saporo,67
어지한,17,other,kimpo,tokyo,85
하로운,80,business,incheon,osaka,51
범효은,80,other,busan,fukuoka,13
연시원,16,tourism,busan,saporo,40
설정현,6,tourism,incheon,osaka,58
좌이안,15,other,kimpo,saporo,5
견윤채,21,business,kimpo,tokyo,83
금은찬,79,other,kimpo,tokyo,23
견다온,44,business,kimpo,fukuoka,26
문유민,61,business,kimpo,fukuoka,84
표태경,19,tourism,busan,saporo,74
부채원,56,other,jeju,tokyo,53
당현진,35,tourism,jeju,saporo,54
부연우,26,tourism,jeju,tokyo,7
제사랑,39,other,jeju,osaka,74
황도경,71,other,kimpo,saporo,1
간준원,70,business,busan,tokyo,28
연지효,70,tourism,incheon,saporo,30
편유정,24,other,jeju,fukuoka,42
강규현,42,tourism,jeju,fukuoka,45
라태경,66,tourism,jeju,saporo,31
나주영,16,other,kimpo,osaka,73
표채윤,6,other,busan,tokyo,3
우지우,30,tourism,incheon,saporo,59
백은혜,29,other,jeju,osaka,77
송지안,32,business,busan,saporo,4
국주연,66,tourism,busan,tokyo,46
반여진,15,tourism,incheon,osaka,83
두재준,10,other,kimpo,osaka,20
은지민,38,tourism,kimpo,fukuoka,39
상태훈,33,business,jeju,osaka,33
당정민,67,business,busan,saporo,16
곽수민,7,other,busan,osaka,56
손세은,42,tourism,incheon,osaka,11
범나율,53,other,jeju,fukuoka,43
모시우,38,business,jeju,tokyo,31
범민결,72,business,kimpo,osaka,61
노연지,70,other,busan,fukuoka,6
황주완,54,other,kimpo,saporo,15
고시원,15,other,kimpo,fukuoka,10
함소연,23,tourism,incheon,tokyo,78
두태리,30,business,jeju,saporo,87
견현서,10,tourism,incheon,saporo,78
최혜성,21,business,jeju,tokyo,34
서은비,63,business,busan,tokyo,49
맹도아,78,other,kimpo,osaka,81
기라온,0,business,busan,osaka,46
두지안,46,tourism,busan,fukuoka,19
어채민,42,tourism,busan,osaka,75
공민혁,56,business,busan,tokyo,75
현시우,65,business,incheon,osaka,42
라현호,57,tourism,kimpo,tokyo,1
도소이,68,business,busan,saporo,15
탁세영,20,business,busan,tokyo,76
어채현,50,other,busan,tokyo,11
태수연,3,tourism,incheon,osaka,47
이하영,44,other,incheon,fukuoka,12
제성민,28,business,kimpo,tokyo,8
나지우,20,other,busan,tokyo,27
도주아,60,business,kimpo,saporo,67
길제이,10,other,kimpo,tokyo,15
추지우,17,other,jeju,osaka,70
조로운,47,tourism,jeju,tokyo,79
위재희,58,business,incheon,osaka,67
허윤,20,tourism,kimpo,fukuoka,86
공해나,13,business,busan,fukuoka,72
현채은,37,tourism,kimpo,osaka,37
국성준,49,tourism,busan,osaka,65
박민경,4,other,busan,tokyo,59
구세아,8,tourism,jeju,osaka,66
최다영,55,other,incheon,fukuoka,19
원다인,69,business,incheon,tokyo,67
목주희,66,business,busan,osaka,20
경준후,58,business,incheon,osaka,47
류채린,32,other,kimpo,tokyo,55
채도윤,65,tourism,jeju,osaka,51
채강우,49,other,incheon,tokyo,76
류주완,29,tourism,kimpo,osaka,83
예은비,77,business,incheon,fukuoka,17
좌유찬,53,other,incheon,fukuoka,30
곽민기,14,tourism,jeju,saporo,27
김채희,9,tourism,busan,saporo,88
탁소은,3,tourism,jeju,fukuoka,28
라윤호,16,tourism,busan,fukuoka,30
기예나,56,business,busan,saporo,16
봉혜인,45,tourism,kimpo,saporo,36
여유이,26,other,kimpo,saporo,19
마태은,1,tourism,jeju,tokyo,52
조혜린,77,tourism,incheon,osaka,18
도범준,57,tourism,incheon,osaka,88
모미소,53,tourism,jeju,tokyo,69
황효주,6,business,incheon,osaka,40
명지오,67,tourism,incheon,saporo,22
호하준,32,business,jeju,osaka,84
원채은,14,business,busan,fukuoka,60
문혜윤,14,business,busan,osaka,60
박예빈,4,tourism,jeju,fukuoka,58
선정원,6,tourism,incheon,fukuoka,39
양세희,32,other,busan,osaka,45
태서진,10,tourism,kimpo,saporo,47
엄설,43,tourism,incheon,fukuoka,63
시정민,47,tourism,busan,tokyo,32
안여준,42,business,kimpo,fukuoka,13
설채아,49,business,kimpo,tokyo,25
두하랑,23,tourism,busan,fukuoka,86
조우진,61,other,jeju,fukuoka,52
선시완,25,other,busan,osaka,49
박신우,17,tourism,busan,osaka,24
금도연,14,other,kimpo,osaka,80
진지한,39,business,busan,saporo,48
제지혜,65,tourism,kimpo,osaka,73
권민경,52,tourism,incheon,osaka,39
위동우,49,business,incheon,saporo,90
음주원,70,tourism,incheon,osaka,85
어민지,8,tourism,jeju,saporo,74
임현진,59,other,busan,fukuoka,25
함연재,36,business,busan,fukuoka,62
소수현,16,business,busan,saporo,70
라정원,57,other,incheon,saporo,12
송윤서,4,other,jeju,saporo,22
천예원,25,tourism,incheon,saporo,32
공가온,16,other,kimpo,tokyo,62
도우준,15,business,incheon,saporo,22
진다현,76,tourism,busan,osaka,84
기정원,49,business,kimpo,tokyo,50
엄수인,9,other,busan,osaka,51
성리아,43,other,incheon,osaka,35
한태준,25,other,incheon,saporo,37
신민서,22,other,busan,tokyo,85
갈단우,76,business,busan,fukuoka,60
상지호,26,tourism,busan,fukuoka,36
범강우,46,business,incheon,saporo,78
양예나,35,other,incheon,tokyo,56
한지온,70,business,jeju,fukuoka,84
금정원,49,business,busan,saporo,87
엄재율,76,business,kimpo,saporo,51
고시우,22,other,jeju,osaka,60
빈효준,3,other,jeju,tokyo,45
강세은,31,business,jeju,fukuoka,43
홍규민,39,tourism,incheon,saporo,34
나민서,59,tourism,kimpo,fukuoka,12
반민찬,47,tourism,incheon,saporo,28
감주혁,73,other,busan,fukuoka,58
맹채원,72,other,busan,saporo,34
유유림,39,other,incheon,tokyo,8
형소담,58,other,jeju,saporo,66
심로이,7,tourism,kimpo,saporo,68
사도연,16,business,jeju,saporo,9
심재혁,58,business,jeju,osaka,75
한서희,69,tourism,incheon,osaka,31
염지온,66,business,incheon,fukuoka,78
정정우,40,other,jeju,osaka,58
홍재민,61,business,kimpo,tokyo,18
양유안,20,tourism,kimpo,fukuoka,22
노종현,66,tourism,incheon,tokyo,81
온주연,60,tourism,busan,osaka,72
라태린,53,tourism,incheon,fukuoka,68
태지율,47,business,busan,fukuoka,73
사혜정,14,tourism,jeju,saporo,87
배재하,62,other,incheon,saporo,72
어예솔,52,other,incheon,saporo,45
견승환,59,other,kimpo,saporo,1
인채은,31,business,incheon,tokyo,68
팽주안,40,other,kimpo,fukuoka,89
빈시완,32,other,busan,tokyo,86
범은율,69,tourism,incheon,osaka,41
금하늘,2,business,incheon,tokyo,37
정호준,47,other,busan,fukuoka,9
남이안,16,tourism,kimpo,tokyo,36
마가인,48,tourism,jeju,fukuoka,89
서윤후,70,other,incheon,saporo,14
부도원,9,business,jeju,tokyo,2
복유림,10,other,kimpo,osaka,61
어진호,62,business,kimpo,saporo,70
지현서,39,other,jeju,saporo,36
주재희,18,business,busan,tokyo,57
온정현,80,tourism,incheon,tokyo,22
김민주,78,tourism,kimpo,tokyo,13
갈효린,34,other,jeju,saporo,15
도하민,32,other,jeju,saporo,17
옥승윤,20,other,busan,saporo,72
권제인,30,business,jeju,osaka,42
금시현,70,tourism,kimpo,saporo,89
동혜민,74,other,kimpo,tokyo,15
홍예림,46,business,busan,tokyo,15
남건희,17,tourism,incheon,fukuoka,29
황태이,5,other,incheon,saporo,17
추주아,72,business,busan,fukuoka,5
맹신우,9,business,busan,saporo,63
문지환,68,business,busan,saporo,37
육지온,57,tourism,incheon,tokyo,41
방주혁,72,business,kimpo,saporo,75
간지한,77,tourism,incheon,osaka,22
간라온,0,business,busan,fukuoka,22
당시은,3,tourism,jeju,tokyo,21
반태오,29,business,kimpo,fukuoka,82
손이안,0,business,busan,fukuoka,4
두시훈,69,tourism,jeju,tokyo,44
예하연,45,business,jeju,tokyo,59
태시호,62,business,jeju,saporo,52
단요한,72,business,incheon,osaka,1
공소연,77,tourism,kimpo,osaka,10
금유빈,76,other,kimpo,fukuoka,20
차다영,76,tourism,incheon,saporo,31
음규민,6,other,jeju,osaka,9
반태은,16,tourism,incheon,tokyo,73
윤주희,78,business,kimpo,fukuoka,41
용유찬,14,other,incheon,saporo,38
팽태이,34,tourism,jeju,saporo,35
맹우준,38,other,kimpo,fukuoka,25
임서진,67,other,kimpo,tokyo,76
임원우,70,tourism,kimpo,tokyo,48
시서진,33,other,busan,fukuoka,60
홍지후,13,tourism,jeju,saporo,45
빈채아,38,tourism,incheon,saporo,73
구현민,66,tourism,incheon,tokyo,3
구혜정,71,tourism,kimpo,osaka,42
엄재민,59,business,jeju,fukuoka,77
두준서,68,tourism,jeju,osaka,61
복설,46,tourism,incheon,osaka,7
홍지율,44,other,incheon,tokyo,19
팽예린,75,business,incheon,osaka,16
온찬우,49,other,busan,tokyo,77
천민서,62,tourism,busan,tokyo,54
차지수,58,other,incheon,fukuoka,53
함성윤,78,business,incheon,tokyo,20
좌윤아,39,tourism,incheon,fukuoka,8
조윤성,25,business,busan,fukuoka,2
목서진,15,other,jeju,saporo,41
상찬,33,other,jeju,fukuoka,6
위시율,58,other,busan,fukuoka,32
홍채이,79,tourism,busan,saporo,48
편은혜,51,tourism,kimpo,fukuoka,42
예승호,72,business,jeju,tokyo,6
반은재,68,tourism,kimpo,fukuoka,27
하태오,76,business,kimpo,fukuoka,34
김윤아,3,other,jeju,tokyo,11
두여원,61,other,incheon,osaka,50
주규현,0,business,kimpo,osaka,30
황동욱,40,other,jeju,fukuoka,56
빈다희,40,tourism,busan,osaka,78
유채린,43,tourism,kimpo,saporo,20
동연아,7,tourism,jeju,osaka,90
김주환,0,other,incheon,tokyo,63
고은혁,71,other,jeju,tokyo,54
견하늘,11,other,busan,fukuoka,81
신승현,48,other,jeju,fukuoka,42
민상현,21,tourism,busan,tokyo,51
표승찬,64,other,incheon,osaka,74
정소희,0,other,kimpo,fukuoka,89
나건,59,tourism,busan,tokyo,62
송단아,16,other,kimpo,tokyo,45
김가은,76,business,incheon,saporo,11
남다경,62,business,kimpo,saporo,41
국재현,71,tourism,incheon,osaka,53
최소희,29,tourism,kimpo,fukuoka,51
승시호,29,tourism,kimpo,fukuoka,83
이호진,38,other,incheon,saporo,45
주소민,63,other,busan,osaka,89
이예담,12,business,jeju,saporo,62
팽세연,60,business,busan,tokyo,9
박채민,16,other,kimpo,saporo,58
남하윤,36,other,kimpo,tokyo,50
소도아,53,tourism,kimpo,saporo,72
태루아,38,business,incheon,tokyo,35
안은호,69,business,busan,osaka,83
선동건,40,other,incheon,fukuoka,63
유승현,2,business,incheon,saporo,11
맹현준,22,business,incheon,osaka,19
당가온,31,business,jeju,tokyo,74
설성민,26,other,jeju,tokyo,14
좌사랑,76,tourism,kimpo,tokyo,16
태아영,29,tourism,incheon,tokyo,12
두지온,70,other,kimpo,tokyo,69
목선우,25,business,jeju,osaka,59
김리원,8,other,busan,saporo,44
음지용,72,tourism,kimpo,saporo,10
남윤진,27,tourism,kimpo,saporo,49
허예림,56,other,kimpo,tokyo,78
신주원,69,tourism,kimpo,fukuoka,75
방승민,30,business,kimpo,tokyo,49
금온유,39,tourism,incheon,tokyo,13
편다혜,24,business,busan,osaka,62
허아연,9,other,jeju,tokyo,26
피보경,18,tourism,busan,saporo,49
갈재윤,34,other,jeju,fukuoka,34
금도하,36,business,busan,tokyo,78
제다영,33,tourism,kimpo,fukuoka,26
지동욱,45,business,jeju,osaka,29
어민아,44,business,busan,tokyo,20
단주호,52,other,kimpo,tokyo,4
연해인,22,other,kimpo,osaka,86
국윤우,41,business,kimpo,saporo,40
인주은,54,tourism,busan,saporo,57
위한결,28,business,kimpo,saporo,1
금지온,43,business,busan,osaka,81
어윤지,63,tourism,jeju,osaka,72
어시우,32,tourism,jeju,osaka,15
곽하진,39,other,incheon,fukuoka,79
주준희,61,business,jeju,saporo,48
사요한,70,other,busan,saporo,33
남준영,37,tourism,incheon,tokyo,79
하은율,43,tourism,incheon,saporo,56
감유안,14,tourism,jeju,osaka,34
좌지우,47,business,incheon,fukuoka,77
시단아,60,tourism,kimpo,fukuoka,44
사단아,54,tourism,busan,osaka,57
연주연,1,business,kimpo,saporo,42
이설아,40,tourism,busan,saporo,5
고소희,65,other,kimpo,osaka,12
온현아,4,business,busan,tokyo,81
허시온,33,other,kimpo,saporo,41
인채현,18,other,kimpo,saporo,45
당지민,62,business,jeju,tokyo,6
음서연,69,other,busan,saporo,2
상이현,19,tourism,busan,saporo,74
도지오,70,business,busan,saporo,14
공윤,56,tourism,kimpo,fukuoka,6
빈우성,14,other,incheon,tokyo,47
음리아,32,other,jeju,tokyo,47
현유현,24,other,jeju,osaka,67
국은채,47,tourism,busan,saporo,23
주준서,73,tourism,kimpo,tokyo,42
백아준,49,other,busan,saporo,81
이은지,14,tourism,kimpo,osaka,54
금윤서,28,business,kimpo,fukuoka,1
천지호,7,tourism,jeju,saporo,21
봉현성,36,business,incheon,osaka,67
윤우준,17,tourism,kimpo,fukuoka,3
육지한,42,business,incheon,fukuoka,41
남호진,65,tourism,jeju,saporo,71
국유안,41,other,incheon,saporo,62
최현진,3,tourism,jeju,tokyo,43
구석현,1,business,jeju,osaka,52
반나윤,55,other,incheon,fukuoka,60
유우성,31,other,incheon,tokyo,43
편도은,54,business,incheon,fukuoka,13
반은성,68,business,jeju,tokyo,89
신소이,59,other,busan,osaka,53
모라온,66,business,busan,saporo,63
단사랑,61,business,busan,osaka,81
인소현,7,tourism,busan,fukuoka,19
하은혜,50,other,incheon,saporo,7
가태희,49,tourism,busan,saporo,44
은윤,59,tourism,incheon,osaka,9
동가을,17,tourism,jeju,saporo,7
임시준,15,tourism,jeju,osaka,24
구하엘,75,other,busan,osaka,3
추은유,63,other,jeju,saporo,69
손우현,67,business,busan,osaka,70
변지우,41,tourism,incheon,osaka,6
임수인,6,tourism,busan,saporo,21
소리안,44,tourism,kimpo,fukuoka,49
채서우,3,tourism,kimpo,saporo,21
소도영,27,other,kimpo,tokyo,8
소유은,62,tourism,jeju,tokyo,17
모상윤,58,business,busan,tokyo,20
갈현준,32,business,jeju,saporo,55
안수빈,39,other,busan,tokyo,62
전태건,63,other,jeju,osaka,45
박주은,14,tourism,busan,osaka,71
국은별,50,other,kimpo,saporo,58
정시환,71,tourism,incheon,saporo,89
원태건,50,other,kimpo,fukuoka,27
송가인,29,tourism,jeju,fukuoka,76
현서원,8,other,jeju,osaka,36
연준원,44,tourism,incheon,saporo,37
송해인,31,other,incheon,fukuoka,40
인현석,53,tourism,incheon,osaka,65
양채아,19,business,jeju,saporo,58
금동준,10,tourism,incheon,fukuoka,7
명민재,56,business,jeju,saporo,76
진서호,34,other,incheon,osaka,69
류리안,58,business,incheon,tokyo,25
하단아,3,other,busan,tokyo,33
온예찬,24,tourism,kimpo,osaka,43
호시은,63,tourism,jeju,tokyo,16
곽채현,9,other,incheon,fukuoka,50
유민결,28,other,busan,tokyo,81
인이현,64,other,busan,osaka,81
변서준,9,tourism,busan,fukuoka,37
지고은,60,other,jeju,tokyo,31
복온유,31,other,kimpo,tokyo,50
위로이,15,tourism,busan,saporo,60
김승재,52,other,incheon,saporo,80
류윤,78,tourism,incheon,osaka,54
추예솔,66,other,busan,tokyo,46
복리안,29,business,busan,saporo,65
신성현,46,other,jeju,fukuoka,5
신채린,76,other,jeju,osaka,76
서하람,3,tourism,kimpo,tokyo,29
옥태성,47,other,jeju,osaka,45
변은지,78,business,kimpo,tokyo,40
가현서,69,other,kimpo,saporo,16
구재이,13,business,kimpo,tokyo,69
위재훈,54,tourism,busan,osaka,62
상도경,68,tourism,busan,osaka,11
설소희,53,other,jeju,osaka,63
구가빈,47,business,kimpo,tokyo,68
원한결,50,business,jeju,osaka,8
원재희,80,business,kimpo,saporo,58
양강현,53,business,busan,saporo,29
방주연,32,business,kimpo,osaka,27
지주호,51,other,busan,saporo,39
최세린,70,business,incheon,fukuoka,34
구재훈,80,tourism,jeju,osaka,24
상재민,79,other,kimpo,fukuoka,29
왕태윤,69,business,kimpo,saporo,24
서재이,32,tourism,incheon,tokyo,36
온혜린,21,business,incheon,saporo,90
홍지환,5,other,jeju,tokyo,29
시하진,18,tourism,kimpo,tokyo,40
방은찬,50,other,incheon,fukuoka,25
손예진,22,business,kimpo,tokyo,76
복민기,23,other,busan,tokyo,65
승효은,76,business,incheon,tokyo,11
안유림,1,business,busan,fukuoka,28
옥주호,44,other,kimpo,tokyo,16
형지안,14,other,jeju,tokyo,44
하은찬,44,tourism,jeju,saporo,36
우소율,8,tourism,jeju,tokyo,14
설시온,49,other,incheon,fukuoka,21
상시아,65,other,incheon,tokyo,44
홍시완,23,other,jeju,tokyo,34
정현빈,58,business,incheon,osaka,71
지현진,29,other,jeju,fukuoka,87
유은성,77,tourism,kimpo,saporo,24
최지호,53,business,kimpo,fukuoka,59
박가온,48,other,incheon,tokyo,30
지율,8,other,busan,osaka,24
손세희,22,other,jeju,tokyo,67
홍도윤,51,other,incheon,osaka,3
봉세린,23,other,incheon,saporo,23
맹은수,45,tourism,jeju,saporo,70
표준석,16,business,kimpo,saporo,12
용라윤,57,other,busan,tokyo,46
팽수호,28,tourism,kimpo,saporo,30
편하진,78,tourism,jeju,saporo,22
임서하,61,other,incheon,fukuoka,2
최채민,35,other,incheon,saporo,80
원은혁,25,business,jeju,fukuoka,76
최태호,78,other,incheon,saporo,12
천정연,6,tourism,jeju,saporo,49
구가빈,26,business,busan,saporo,76
박원우,5,other,jeju,saporo,29
형정현,3,other,kimpo,saporo,62
인시온,12,tourism,busan,fukuoka,67
배이안,71,business,kimpo,tokyo,82
전서원,53,business,jeju,osaka,12
모재하,48,business,jeju,fukuoka,17
라민채,64,tourism,kimpo,tokyo,49
엄성민,57,other,kimpo,osaka,88
박태오,40,tourism,kimpo,tokyo,32
안리안,40,business,kimpo,tokyo,74
호윤,43,business,kimpo,fukuoka,10
부예서,33,business,busan,saporo,1
목은우,26,tourism,kimpo,tokyo,58
연승재,5,other,incheon,tokyo,72
범영민,50,other,jeju,osaka,35
부태양,57,tourism,kimpo,tokyo,8
유서빈,65,other,kimpo,tokyo,36
제하음,49,tourism,busan,saporo,74
동나현,52,tourism,kimpo,osaka,66
현은준,63,business,busan,saporo,47
권아름,52,other,kimpo,saporo,45
팽소민,79,tourism,kimpo,saporo,6
정아인,10,business,busan,tokyo,45
오성현,22,business,kimpo,fukuoka,60
위재희,41,business,busan,tokyo,35
안아윤,60,other,kimpo,saporo,88
신선우,28,tourism,busan,saporo,79
하준희,0,other,incheon,osaka,76
빈유경,1,tourism,jeju,osaka,25
민동하,55,business,jeju,fukuoka,43
호윤우,15,other,busan,saporo,76
육아라,57,tourism,jeju,saporo,84
하수혁,54,other,kimpo,saporo,3
여재준,44,business,busan,osaka,41
예은서,52,business,kimpo,tokyo,38
인준현,13,tourism,busan,fukuoka,51
홍선우,27,other,jeju,saporo,40
유서연,17,other,busan,tokyo,9
형서원,72,business,incheon,tokyo,79
팽지성,30,business,incheon,tokyo,12
황나영,36,business,kimpo,fukuoka,21
지주하,14,business,kimpo,saporo,46
호은혁,30,business,jeju,fukuoka,28
안시현,34,business,jeju,tokyo,53
신희원,65,business,kimpo,tokyo,44
여태희,68,other,kimpo,tokyo,41
손윤아,46,tourism,incheon,tokyo,31
황동하,26,other,incheon,osaka,8
고성훈,76,business,busan,tokyo,23
손시환,71,business,incheon,fukuoka,39
연승현,46,other,jeju,osaka,76
예이현,7,tourism,jeju,fukuoka,61
홍성진,15,business,jeju,tokyo,14
차도경,43,business,kimpo,osaka,26
선보미,56,tourism,busan,fukuoka,84
나준현,61,business,kimpo,osaka,6
형현성,4,other,jeju,osaka,2
채시연,69,tourism,incheon,osaka,6
명하린,32,other,kimpo,fukuoka,71
배시연,48,tourism,jeju,saporo,48
위상현,61,other,busan,osaka,7
나은성,38,business,incheon,tokyo,47
정가빈,11,business,incheon,fukuoka,22
마혜원,26,tourism,jeju,fukuoka,55
김주희,7,other,kimpo,saporo,2
나수지,62,business,busan,saporo,70
성혜민,30,tourism,incheon,saporo,53
마하온,40,business,jeju,saporo,29
연동현,43,tourism,kimpo,tokyo,19
하아진,60,other,incheon,osaka,63
명태영,32,tourism,kimpo,tokyo,2
곽나현,16,tourism,busan,osaka,51
형정후,71,tourism,busan,fukuoka,29
빈혜진,7,other,busan,fukuoka,44
가민혁,49,tourism,kimpo,tokyo,45
신민우,5,business,busan,osaka,54
장지윤,22,business,incheon,saporo,52
빈성윤,74,tourism,busan,osaka,61
좌유정,32,other,busan,osaka,74
용선우,12,other,incheon,fukuoka,8
전찬희,65,tourism,jeju,osaka,25
이수호,54,tourism,incheon,tokyo,53
문소미,21,tourism,busan,saporo,16
한민혁,35,business,kimpo,tokyo,68
신태윤,67,other,incheon,tokyo,13
단태호,12,tourism,jeju,fukuoka,17
임준형,65,tourism,incheon,osaka,59
정나윤,48,business,incheon,saporo,83
금은호,74,business,jeju,saporo,71
박지율,49,business,incheon,fukuoka,86
형선우,15,other,kimpo,saporo,30
명아윤,9,tourism,jeju,saporo,15
하지운,70,business,incheon,fukuoka,33
경정현,46,business,kimpo,fukuoka,33
도은수,27,business,jeju,fukuoka,78
염유안,20,tourism,kimpo,tokyo,68
소세훈,48,business,jeju,saporo,48
원지아,55,business,incheon,osaka,80
한유진,49,other,kimpo,tokyo,32
고혜정,41,business,incheon,tokyo,86
하예준,60,tourism,incheon,osaka,41
서나영,80,tourism,kimpo,tokyo,85
마이든,66,tourism,incheon,saporo,6
갈윤우,50,other,kimpo,osaka,5
표수현,46,business,incheon,fukuoka,55
배우찬,70,other,incheon,saporo,66
오채은,3,other,jeju,saporo,9
공아현,51,tourism,kimpo,fukuoka,36
장동준,61,business,busan,saporo,9
승주원,25,business,incheon,tokyo,8
국라엘,36,business,incheon,osaka,70
두형준,21,business,kimpo,fukuoka,11
단요한,7,business,incheon,fukuoka,31
서주완,7,other,incheon,fukuoka,62
여다혜,42,other,busan,osaka,75
채현준,77,business,busan,fukuoka,52
형소현,57,other,busan,fukuoka,10
옥로이,59,other,jeju,tokyo,47
온희찬,72,other,incheon,fukuoka,70
곽서윤,62,tourism,busan,saporo,23
허하은,70,other,busan,osaka,10
채윤하,76,tourism,jeju,saporo,24
옥민건,38,tourism,jeju,tokyo,1
차태경,28,business,jeju,osaka,49
정도훈,3,other,busan,tokyo,89
인윤서,79,tourism,busan,osaka,19
진소영,22,other,incheon,osaka,74
양은수,77,business,busan,tokyo,78
팽현수,24,business,jeju,fukuoka,88
예시후,54,business,jeju,fukuoka,32
심성민,73,tourism,incheon,fukuoka,24
반연아,47,other,incheon,tokyo,25
유석현,62,other,jeju,osaka,72
갈유준,8,tourism,jeju,tokyo,41
최유성,63,other,incheon,tokyo,27
사효린,39,business,busan,fukuoka,9
복태린,64,business,busan,saporo,29
박한결,3,other,incheon,osaka,65
편솔,27,business,jeju,tokyo,56
임한율,60,business,busan,fukuoka,7
단봄,36,business,jeju,osaka,57
사하음,2,tourism,busan,osaka,85
허효은,41,business,incheon,fukuoka,21
탁유안,58,tourism,incheon,saporo,71
원하율,62,other,incheon,saporo,67
