Name,Gender,Salary,Departments,Position
위세린,female,11639,finance,assistant
금가을,female,4375,finance,assistant
양우진,male,15419,advertising,assistant
어정민,male,6352,marketing,header
문규민,male,24830,marketing,assistant
방세은,male,13833,advertising,assistant
형태환,male,15056,marketing,manager
탁유빈,female,24154,design,header
허선호,male,4826,marketing,assistant
노주연,male,24147,IT,manager
금윤서,male,15693,marketing,assistant
복은설,male,23240,marketing,assistant
봉은준,female,28983,IT,header
감지오,male,26992,marketing,assistant
인태오,female,13293,marketing,manager
호수인,male,11769,marketing,manager
최다희,male,16962,marketing,manager
맹채희,female,18998,marketing,assistant
동민우,female,6931,design,manager
함민정,male,21286,marketing,assistant
나은율,male,16791,advertising,assistant
감다혜,female,9109,marketing,assistant
소가온,male,16568,advertising,assistant
최재은,male,7269,advertising,manager
연은성,male,8183,advertising,intern
기건후,female,9062,advertising,assistant
사지안,male,4824,advertising,manager
장태하,male,12720,finance,manager
육효준,male,19600,advertising,manager
나시온,male,13923,design,assistant
명도희,female,9999,IT,assistant
배우빈,female,12799,marketing,manager
천준후,female,26171,advertising,assistant
성아윤,male,16710,finance,assistant
손채아,female,14875,marketing,assistant
노나영,male,18734,marketing,assistant
채시윤,male,14562,advertising,manager
기예진,male,12631,advertising,assistant
염수혁,female,25137,marketing,header
천별,female,14655,IT,assistant
명소은,male,23888,marketing,assistant
황시현,female,22534,advertising,assistant
채재민,female,29777,design,manager
은가은,male,15337,marketing,assistant
오승호,male,13614,marketing,intern
함수아,male,26007,marketing,manager
나이현,female,29753,marketing,header
용윤서,male,7426,IT,assistant
지성원,male,10088,finance,intern
채은율,female,15590,marketing,manager
장혜빈,male,26075,marketing,intern
조세린,female,4217,IT,assistant
차세현,male,14383,marketing,assistant
방윤,female,16181,marketing,assistant
염승유,male,4664,marketing,assistant
상승빈,female,24949,design,manager
류승재,male,29766,marketing,assistant
기아현,female,7659,marketing,manager
남하온,male,23764,advertising,assistant
국성빈,female,23616,advertising,manager
염태연,male,8596,marketing,manager
남성진,male,23375,finance,intern
남다희,male,28983,marketing,assistant
구은비,male,15634,marketing,header
최나은,male,20227,marketing,manager
부혜정,male,26049,marketing,assistant
부지현,male,10497,marketing,manager
장은성,male,25030,marketing,assistant
배주환,female,6132,marketing,assistant
공세은,male,15973,design,assistant
설서인,female,16559,finance,manager
김태건,female,17755,marketing,assistant
고주희,female,3958,marketing,assistant
여찬우,male,5880,marketing,assistant
범지우,male,22083,advertising,manager
위수아,male,16633,marketing,assistant
여채이,male,18731,advertising,assistant
상혜빈,male,23106,marketing,assistant
음제인,female,12480,marketing,manager
전하율,male,19181,marketing,manager
전재훈,male,7156,advertising,assistant
태진서,male,5404,marketing,intern
장예솔,female,29945,marketing,assistant
남민채,male,16277,marketing,assistant
한서인,male,9550,marketing,assistant
류연지,male,20651,marketing,header
음도연,male,5059,advertising,assistant
감정연,male,10827,design,manager
사현수,male,13490,advertising,assistant
금재우,female,23250,marketing,assistant
백이현,female,24150,advertising,assistant
허다온,female,13433,finance,header
경보경,male,25799,finance,assistant
좌태양,female,13136,marketing,assistant
라지혁,female,28448,marketing,assistant
형태양,male,13435,advertising,assistant
제민주,female,14042,advertising,assistant
탁지성,male,6635,advertising,assistant
기채율,female,26460,marketing,manager
엄지율,male,29598,marketing,manager
복지한,female,9613,finance,assistant
맹수빈,female,26606,marketing,assistant
금수정,female,15874,marketing,assistant
임태환,male,13322,marketing,manager
차희원,male,11224,finance,assistant
부민주,male,7228,marketing,manager
함태현,female,9060,IT,assistant
라규빈,female,27651,marketing,manager
음채영,male,14462,marketing,assistant
석가연,male,17662,IT,assistant
함서아,male,5071,marketing,assistant
감윤지,male,25361,IT,header
기성준,female,12344,design,intern
정도윤,male,11569,marketing,manager
황태호,female,26302,IT,intern
염승유,male,10788,finance,manager
갈채윤,male,18101,marketing,assistant
호연주,male,15077,advertising,assistant
허해준,female,26496,marketing,assistant
모하람,male,7275,marketing,header
여세영,male,13067,design,manager
단현서,female,29022,advertising,intern
시민하,male,9901,marketing,assistant
호정민,female,28752,advertising,assistant
한지안,male,5480,marketing,assistant
두승민,male,3869,IT,assistant
심단아,male,22495,finance,assistant
천현진,male,12511,marketing,assistant
박준성,male,4732,marketing,manager
방성준,male,14087,marketing,assistant
연아진,male,16312,advertising,manager
부우영,male,26297,marketing,manager
장유주,female,20549,marketing,manager
팽형준,male,27582,marketing,manager
가가을,male,23188,marketing,assistant
표준희,female,10186,finance,assistant
승예은,female,7753,advertising,manager
태가온,male,4018,design,assistant
상도원,male,27398,marketing,assistant
공재율,female,19094,marketing,assistant
연은비,male,10041,marketing,intern
간소영,female,7005,advertising,manager
백민하,male,15157,advertising,assistant
소순기,female,23428,marketing,intern
육효주,female,27155,marketing,intern
육시연,male,10569,marketing,assistant
간지민,female,12819,advertising,assistant
은용준,male,23778,marketing,assistant
하아인,female,24770,marketing,header
탁승재,male,19458,advertising,header
유지효,male,24981,marketing,assistant
탁주현,female,29492,marketing,assistant
백윤우,male,22776,design,intern
선주호,male,14812,design,assistant
빈민규,male,13937,design,assistant
주서원,male,18301,marketing,intern
변진호,female,24069,marketing,manager
허연준,female,10774,marketing,manager
임준서,female,7209,design,intern
한유은,male,26292,design,assistant
신하람,male,10926,IT,assistant
성서빈,male,22080,marketing,manager
봉유찬,male,13693,marketing,intern
장정후,male,10134,marketing,manager
신범준,male,10882,design,assistant
태준혁,female,13380,design,assistant
현연주,female,29613,marketing,manager
문지용,female,14156,design,assistant
하예찬,male,8646,design,assistant
사지아,female,16321,IT,manager
음지운,male,12124,marketing,assistant
송민하,male,8705,advertising,intern
간지훈,male,9754,advertising,manager
김하나,male,3605,marketing,intern
경한별,male,22490,advertising,assistant
탁지원,male,3653,design,manager
상대현,male,7573,IT,assistant
예온유,male,14842,IT,intern
음채희,male,25431,marketing,assistant
황찬희,male,15185,marketing,manager
소서우,male,4770,finance,assistant
맹정현,male,21543,advertising,assistant
서유찬,male,7300,marketing,header
길아인,female,13469,advertising,assistant
당준형,female,25905,finance,assistant
두서현,female,12660,marketing,manager
홍선우,male,17627,marketing,manager
가도희,male,26717,marketing,manager
호다희,female,24685,marketing,assistant
전민영,male,15216,marketing,manager
송도희,male,24021,advertising,assistant
전한결,female,20167,finance,assistant
연건호,female,25433,marketing,assistant
노하나,male,17425,marketing,assistant
선윤후,female,27578,marketing,manager
우이한,female,28067,marketing,assistant
빈은혁,male,18367,advertising,assistant
기태이,female,4150,marketing,assistant
인재준,male,20407,marketing,assistant
유하음,male,10903,finance,header
김재원,male,28853,IT,manager
복지원,female,3776,IT,assistant
심대현,female,26941,IT,assistant
정한울,male,19996,finance,assistant
금가람,male,5210,marketing,manager
국재이,female,7783,advertising,header
봉지혁,female,9406,marketing,manager
소하성,male,18328,marketing,manager
명준혁,male,27676,marketing,assistant
용도경,male,28676,finance,manager
선준수,male,11386,marketing,assistant
봉유하,male,7503,advertising,manager
견승준,male,8516,marketing,manager
박지혜,male,16643,design,assistant
옥하민,male,11105,marketing,assistant
유준혁,female,12117,marketing,assistant
범은성,male,15225,marketing,assistant
구주현,male,22389,design,intern
조우현,male,3292,marketing,manager
남나린,male,9105,design,assistant
상수빈,female,20215,finance,header
류지성,female,10353,design,manager
정은성,male,21618,marketing,assistant
기주영,female,4523,marketing,assistant
오태우,female,11633,design,assistant
허민혁,male,19900,marketing,header
단아준,male,3552,marketing,assistant
송우주,male,27630,marketing,assistant
추혜민,female,10682,design,assistant
당하성,female,10831,marketing,assistant
기은성,male,10741,finance,assistant
목도경,male,17599,marketing,manager
염찬희,male,20049,marketing,manager
단서연,male,10473,marketing,manager
호범준,male,12513,design,header
인하온,male,5216,IT,assistant
편나은,female,23939,marketing,assistant
현다빈,female,20673,marketing,assistant
갈단비,male,27557,IT,assistant
왕은유,female,29092,marketing,manager
위이안,female,24225,marketing,intern
박온유,male,24174,marketing,assistant
육현빈,male,14998,design,header
문찬영,male,28035,marketing,assistant
가아연,male,29926,finance,manager
김혜성,male,20804,design,assistant
제서희,male,12396,marketing,manager
탁라온,male,23977,marketing,assistant
최경민,female,22976,marketing,intern
기은수,female,20726,IT,intern
부준희,male,10674,marketing,assistant
최태오,male,28166,marketing,header
엄준성,male,6713,marketing,assistant
감서윤,female,6474,marketing,assistant
권로이,female,22801,advertising,assistant
현하영,female,4193,marketing,manager
추은솔,male,18602,marketing,manager
이우빈,female,8007,advertising,assistant
명은우,male,19653,finance,assistant
문단우,male,7097,marketing,intern
소지후,female,27806,finance,manager
엄채은,male,14525,advertising,header
김이나,male,11576,IT,manager
권신우,male,29615,advertising,assistant
용시완,female,15011,IT,assistant
홍도진,male,10340,advertising,assistant
손은비,female,16245,advertising,assistant
단채이,male,5585,marketing,header
장서하,male,25513,marketing,manager
옥한나,male,27526,marketing,assistant
길솔,male,21101,advertising,manager
소제이,female,15116,design,header
석아연,female,11293,marketing,manager
지지성,male,19408,design,assistant
명유라,male,27033,finance,assistant
변서희,female,29774,design,assistant
정찬영,female,16050,IT,header
편지은,male,9745,advertising,assistant
박다빈,male,15112,design,assistant
강다경,male,20026,marketing,assistant
동지율,female,19837,advertising,assistant
좌설,male,10916,finance,manager
노하연,male,18187,marketing,header
김예나,female,13373,advertising,assistant
지범준,female,7759,marketing,manager
태태양,male,7535,marketing,assistant
복리안,male,6782,marketing,manager
호우성,male,15550,finance,assistant
방주하,male,9291,design,assistant
범서연,male,29083,advertising,assistant
단재준,female,28974,marketing,manager
엄은수,male,4434,advertising,manager
송아린,male,16274,advertising,manager
가도경,male,29254,advertising,manager
하승재,female,21437,advertising,header
부준혁,female,21333,IT,header
류유빈,male,15485,design,assistant
백동윤,male,27722,marketing,assistant
편유이,male,17742,IT,assistant
곽윤우,female,9330,marketing,manager
소예지,male,13436,design,assistant
구준호,male,27850,marketing,manager
윤리안,male,29095,IT,manager
조태윤,male,25584,advertising,assistant
방현서,female,24886,advertising,assistant
반건,male,10499,marketing,assistant
함세린,male,11803,marketing,intern
반혜진,male,23930,marketing,manager
엄서하,female,28636,IT,assistant
갈채연,male,9717,marketing,assistant
오영민,male,15814,marketing,intern
손호준,female,9266,IT,header
국도윤,male,20796,advertising,header
채은수,male,14321,advertising,assistant
장승우,male,17992,marketing,manager
경민서,male,28953,marketing,intern
안채빈,female,3043,finance,manager
위승재,female,20710,marketing,header
예태이,female,12024,marketing,manager
설민서,female,29403,marketing,assistant
편승연,female,14705,marketing,assistant
복은성,female,27408,advertising,assistant
윤여진,male,11664,marketing,assistant
동서은,male,28842,advertising,assistant
현한나,female,6666,marketing,header
성승재,male,15851,marketing,assistant
표가을,male,11212,design,manager
배지원,male,25188,advertising,assistant
명희찬,male,12095,IT,manager
가은재,male,11709,finance,manager
길은지,female,16327,finance,assistant
곽라희,male,12458,IT,assistant
양지성,male,3652,design,manager
표다율,male,17951,advertising,intern
우다온,male,16938,marketing,assistant
홍건호,male,15502,marketing,manager
봉유찬,male,6577,finance,manager
양유안,female,9044,marketing,assistant
조예솔,male,15961,design,assistant
한석현,female,9289,advertising,intern
곽효은,male,8206,advertising,assistant
신도영,male,11302,IT,manager
권윤우,female,29653,advertising,header
두주혁,male,19661,marketing,manager
당승준,male,23216,marketing,intern
선하민,female,25013,design,manager
남율,male,19171,marketing,assistant
함하리,male,12982,marketing,manager
함석현,male,12391,marketing,assistant
노아연,male,27950,marketing,manager
경가영,female,29049,marketing,assistant
길준형,male,16292,marketing,intern
함은율,male,14461,IT,manager
남보경,male,11340,marketing,assistant
염하리,female,19342,marketing,assistant
빈나린,female,24700,IT,assistant
좌석현,female,22060,IT,assistant
마민결,female,12838,advertising,assistant
목재혁,male,25988,advertising,header
목연재,female,9971,marketing,assistant
고예슬,male,22333,marketing,assistant
남수지,male,24815,advertising,manager
진아현,female,21830,finance,manager
견수연,female,13025,marketing,intern
봉봄,male,7960,advertising,assistant
진태양,female,24534,finance,manager
기승현,female,21546,marketing,manager
고승재,male,29479,marketing,manager
길예인,female,12639,advertising,manager
황태성,female,25449,IT,assistant
우희찬,female,26379,finance,manager
국하빈,male,24419,advertising,assistant
반하람,male,7606,advertising,header
견유찬,male,21563,advertising,assistant
고소윤,female,12541,marketing,assistant
남혜성,male,29932,marketing,assistant
형라희,female,18350,design,assistant
김해인,male,22112,marketing,manager
서도희,male,12469,marketing,intern
여준수,male,23213,design,manager
복다윤,male,28495,marketing,intern
탁고은,male,25607,advertising,manager
감지후,female,11132,marketing,header
승형준,female,18282,marketing,assistant
가지호,female,18303,IT,assistant
간채현,female,5661,marketing,manager
온율,male,20027,design,intern
봉연우,male,25548,marketing,manager
온민우,female,29129,marketing,manager
라나연,male,11907,design,assistant
홍가연,female,17760,advertising,assistant
설서인,male,7952,marketing,assistant
홍성윤,male,29537,marketing,manager
당재준,male,26043,marketing,manager
권유빈,male,3689,marketing,header
황지후,male,7641,marketing,assistant
오하랑,female,20003,marketing,header
한준서,female,25726,IT,manager
선고은,male,16247,marketing,assistant
황민준,male,23634,advertising,assistant
서아현,male,21798,marketing,header
안지성,female,22511,marketing,assistant
음로이,female,16851,finance,manager
옥정윤,male,16164,marketing,assistant
유예주,male,22933,finance,assistant
현지민,female,5010,marketing,intern
성단비,female,26914,marketing,intern
진윤주,female,3830,marketing,intern
노신우,male,24990,advertising,manager
빈도은,female,18153,finance,assistant
원준,male,22180,marketing,assistant
강나윤,female,12307,marketing,manager
오가현,male,7379,advertising,assistant
임해인,female,7928,marketing,assistant
국승주,female,16737,finance,assistant
신다현,male,21847,marketing,assistant
석지인,male,16688,marketing,assistant
지태오,male,22198,advertising,assistant
모연재,female,3424,design,assistant
천가온,female,9222,finance,manager
유지현,female,23308,marketing,assistant
맹순기,female,26206,finance,assistant
전윤찬,male,8619,design,manager
권도경,male,19856,advertising,assistant
복리원,male,16491,advertising,assistant
단주안,female,27723,marketing,assistant
도민찬,female,9288,marketing,manager
원정민,female,7585,finance,manager
권소미,male,28603,marketing,assistant
윤은별,male,22191,marketing,manager
태현아,male,8868,advertising,header
사정빈,male,16076,advertising,manager
온승윤,male,12626,advertising,header
남준희,female,16227,marketing,assistant
장주희,female,16145,finance,manager
서범준,female,25693,advertising,manager
인루아,female,19012,design,manager
안나현,female,18767,advertising,assistant
표세현,male,11665,marketing,assistant
문서후,male,12873,marketing,assistant
봉지우,male,12959,marketing,assistant
노다원,male,10439,IT,assistant
상하나,male,23451,marketing,assistant
감준석,male,8564,advertising,assistant
염가은,male,15367,marketing,assistant
용찬우,male,4678,IT,assistant
방여준,female,24118,IT,assistant
이민경,female,9762,marketing,header
복승찬,male,12199,marketing,assistant
사재준,female,5735,marketing,intern
현준희,male,22806,marketing,assistant
방이준,male,27870,marketing,header
용규빈,male,8872,marketing,manager
목유진,female,21971,design,manager
표현성,male,22858,marketing,assistant
윤지원,male,15679,advertising,manager
한가온,female,23710,design,assistant
범세빈,female,26317,marketing,assistant
은윤호,male,5380,design,manager
길민혁,male,3792,marketing,assistant
엄우주,female,15074,advertising,manager
김승현,male,3254,marketing,manager
은지용,male,12402,IT,header
권나현,female,26083,design,manager
금수아,female,21411,advertising,header
류재이,male,16109,finance,header
범유이,female,13875,marketing,assistant
어태윤,male,7448,advertising,manager
성예슬,male,6093,IT,assistant
오유건,male,29416,marketing,intern
추설,female,7499,advertising,header
채지훈,male,20646,IT,assistant
최예림,female,17370,marketing,header
예현호,female,26415,marketing,intern
어지운,female,23954,design,assistant
상민수,male,20205,marketing,assistant
시윤후,male,24901,finance,manager
황찬,female,7469,advertising,assistant
최제인,female,4082,IT,manager
명선우,female,20514,design,manager
윤동혁,male,22353,finance,header
지다경,male,28623,advertising,manager
탁찬,male,6326,marketing,intern
승유건,female,5477,IT,assistant
사산,female,12511,IT,assistant
육규현,male,9151,marketing,assistant
윤효은,male,9150,marketing,header
심태하,male,5763,marketing,manager
탁종현,male,9211,advertising,assistant
인현민,female,3637,marketing,assistant
모찬우,male,13943,IT,intern
함이솔,male,8318,marketing,assistant
성선호,female,28581,advertising,assistant
신현서,female,28397,marketing,assistant
부서율,female,16943,advertising,manager
범선호,female,3864,marketing,manager
나해나,male,14758,marketing,assistant
당이준,female,5661,marketing,intern
편은채,male,6812,advertising,manager
봉윤지,male,4527,advertising,intern
곽연서,male,29205,IT,assistant
최소담,male,17415,advertising,assistant
견가은,male,24383,marketing,intern
반시우,male,7129,marketing,assistant
마지혁,male,17399,marketing,assistant
유윤채,female,12979,advertising,assistant
류소윤,male,29903,marketing,assistant
맹유안,male,28262,advertising,intern
사지은,female,8688,advertising,manager
편아인,male,3270,design,assistant
기지원,male,23827,marketing,assistant
당이솔,female,26972,marketing,manager
이민기,female,3592,marketing,assistant
빈한결,female,18860,advertising,intern
봉재율,male,15701,marketing,manager
홍한율,female,5144,advertising,assistant
권다희,male,12759,advertising,intern
피지성,female,29284,finance,assistant
금지완,male,11620,marketing,assistant
소준우,male,5228,marketing,assistant
동시환,female,22219,finance,assistant
인성윤,female,27054,design,intern
길지완,male,21950,marketing,header
권윤호,female,17134,marketing,intern
하재현,female,11342,marketing,assistant
목주연,female,26026,marketing,manager
장가인,female,7891,marketing,intern
구민건,male,3827,design,header
임소이,male,23262,advertising,assistant
인민채,male,27268,marketing,manager
반윤슬,male,22727,IT,header
염태린,female,21420,marketing,manager
라도진,male,7535,finance,manager
노다원,female,15393,design,assistant
송범준,male,28622,marketing,assistant
남하음,female,7272,marketing,assistant
류민석,female,13825,marketing,intern
온연호,male,20679,marketing,assistant
동주연,male,12606,advertising,assistant
양이든,male,19844,marketing,assistant
표도겸,female,11216,marketing,manager
변서율,male,9069,IT,assistant
신은유,female,5636,finance,intern
황예원,male,3368,advertising,assistant
방채영,male,12276,marketing,intern
두아영,male,25797,marketing,intern
승서율,male,28808,marketing,manager
소찬우,male,26789,design,assistant
감대현,male,6809,design,assistant
범시훈,male,10484,advertising,manager
위지수,female,6491,design,assistant
은채린,female,3803,advertising,intern
신서율,female,8748,marketing,assistant
어수혁,male,6598,marketing,manager
송재인,female,18418,IT,assistant
정도원,male,11122,advertising,assistant
양현준,male,12734,marketing,intern
장예빈,female,13537,marketing,intern
용건우,female,29194,marketing,manager
선윤지,male,22143,IT,manager
우리안,male,25567,IT,header
주지율,male,19727,marketing,manager
사서린,female,18230,marketing,intern
편은준,male,7654,marketing,assistant
하리안,female,5271,finance,assistant
오소희,female,28129,marketing,assistant
강아윤,male,23640,marketing,assistant
편새봄,female,11041,marketing,manager
오서인,female,11237,marketing,assistant
배주현,male,5799,marketing,header
심승환,male,22645,advertising,assistant
위하민,male,14677,advertising,intern
석찬영,female,18067,finance,intern
곽다인,female,4266,IT,header
감다인,male,18338,marketing,header
채가영,male,28595,design,assistant
천규현,male,28360,marketing,header
형하린,male,10958,marketing,manager
설하람,male,13421,finance,assistant
심소율,male,15665,advertising,intern
공지환,female,4655,marketing,manager
고윤채,female,11946,advertising,manager
금한울,female,5384,marketing,assistant
지채빈,female,12956,design,assistant
좌정원,male,26058,finance,intern
도윤재,female,10051,advertising,manager
허제이,male,6675,marketing,assistant
채승준,female,23981,IT,manager
길태율,male,8859,marketing,assistant
남은율,male,7061,marketing,manager
빈가영,male,6157,marketing,assistant
고채현,male,4873,IT,assistant
황예진,female,28215,marketing,assistant
한민하,male,5611,marketing,intern
민가윤,female,22497,design,intern
염찬영,male,11546,marketing,manager
류루아,male,8493,advertising,assistant
제민서,female,19680,marketing,manager
권연호,male,10815,IT,manager
선지온,female,29617,IT,assistant
표진서,male,19510,advertising,assistant
마정빈,male,5411,marketing,assistant
남현승,male,21249,advertising,header
어은성,male,6993,marketing,header
동소연,female,8780,marketing,intern
고규민,male,12295,advertising,assistant
나유림,female,16289,design,manager
두재준,female,9368,finance,manager
위수민,male,7310,finance,assistant
류민솔,male,26807,advertising,manager
유지환,male,17845,marketing,assistant
설유정,female,17118,advertising,assistant
도아윤,male,19598,design,assistant
원성빈,female,9003,marketing,assistant
주슬아,male,21679,marketing,assistant
이성우,male,17186,marketing,header
빈혜원,female,21462,finance,assistant
변은준,male,10041,marketing,manager
염현빈,male,18931,design,manager
손은비,male,19963,marketing,assistant
길채빈,male,10507,marketing,assistant
육세영,male,15170,marketing,manager
팽수현,male,25002,design,header
고정원,female,17986,finance,assistant
방강우,female,22256,marketing,assistant
성소윤,male,13963,IT,manager
최라온,male,20554,marketing,assistant
안도은,male,24057,advertising,header
모시현,female,9729,finance,manager
이사랑,male,29441,advertising,manager
석이준,male,16747,marketing,assistant
맹세아,male,29954,finance,assistant
경새봄,female,23848,marketing,assistant
소윤채,male,14280,marketing,manager
모예주,female,7868,marketing,intern
최영준,male,8402,marketing,manager
기지연,male,18127,advertising,manager
시정원,female,14193,marketing,assistant
권우주,male,5013,marketing,manager
인시온,male,29489,marketing,assistant
음하영,male,20504,advertising,manager
손채희,female,25810,IT,manager
갈서진,male,25845,design,manager
현민경,female,6738,advertising,manager
형민정,male,5692,marketing,manager
박신우,male,20273,marketing,assistant
고리안,male,6090,marketing,assistant
음재호,female,28126,marketing,manager
전아름,female,5462,finance,manager
함은우,male,6904,marketing,assistant
문현호,male,5857,marketing,assistant
홍솔,male,3776,advertising,manager
두시윤,male,29875,IT,assistant
부민호,male,27256,marketing,assistant
서세영,male,17220,marketing,assistant
좌소이,male,15276,marketing,intern
시건희,male,6150,advertising,assistant
심도하,female,28524,IT,assistant
편윤서,female,9201,marketing,assistant
황승우,male,7149,marketing,manager
곽현민,male,28648,marketing,assistant
승하빈,male,25850,marketing,assistant
김태린,male,5431,finance,assistant
엄서우,female,5724,marketing,assistant
마채이,male,15629,IT,assistant
범윤진,male,23199,finance,manager
문은지,male,29598,marketing,intern
위은솔,female,4631,advertising,intern
당가람,male,16753,finance,assistant
신아윤,male,12194,design,intern
배하온,male,8011,marketing,manager
당우찬,female,10044,marketing,assistant
육신우,male,26258,design,assistant
예아연,male,29808,marketing,assistant
소유건,male,14618,marketing,assistant
문서율,female,15589,finance,manager
목지후,male,5431,marketing,assistant
지유민,male,22423,IT,assistant
옥주영,female,21176,marketing,assistant
권가인,male,4409,marketing,assistant
좌하민,female,16296,design,header
송도훈,male,29025,IT,assistant
국태민,female,11259,marketing,manager
심재은,male,26335,finance,intern
승은혁,male,20837,marketing,manager
인채원,male,3203,design,assistant
함다인,male,8182,marketing,assistant
방지온,male,12652,marketing,assistant
나주현,male,25179,marketing,header
방재율,male,28502,IT,assistant
태준희,female,12750,marketing,assistant
천준혁,male,12134,design,assistant
